,Price,Room type,Person capacity,Longitude,Latitude,City,Neighbourhood
9511,338.88,Entire home,4,-9.155,38.709,Lisbon,Estrela
9512,142.82,Private room,2,-9.147,38.724,Lisbon,Santo Antnio
9513,220.68,Entire home,4,-9.13642,38.72477,Lisbon,Arroios
9514,246.25,Entire home,3,-9.14869,38.72643,Lisbon,Santo Antnio
9515,112.57,Private room,2,-9.13822,38.73062,Lisbon,Arroios
9516,211.54,Entire home,2,-9.15592,38.70933,Lisbon,Estrela
9517,211.54,Entire home,2,-9.1565,38.70792,Lisbon,Estrela
9518,211.54,Entire home,2,-9.15653,38.70797,Lisbon,Estrela
9519,271.81,Entire home,4,-9.148,38.726,Lisbon,Santo Antnio
9520,299.48,Entire home,4,-9.148,38.726,Lisbon,Santo Antnio
9521,231.0,Entire home,2,-9.148,38.726,Lisbon,Santo Antnio
9522,266.89,Entire home,2,-9.148,38.726,Lisbon,Santo Antnio
9523,286.82,Entire home,4,-9.137,38.724990000000005,Lisbon,Arroios
9524,118.2,Private room,2,-9.15454,38.70855,Lisbon,Estrela
9525,118.2,Private room,2,-9.15466,38.70677,Lisbon,Estrela
9526,129.92,Private room,2,-9.15458,38.70691,Lisbon,Estrela
9527,129.92,Private room,2,-9.15432,38.70818,Lisbon,Estrela
9528,240.38,Entire home,4,-9.13879,38.72146,Lisbon,Arroios
9529,223.03,Entire home,4,-9.14067,38.72477,Lisbon,Arroios
9530,129.92,Private room,3,-9.14641,38.7254,Lisbon,Santo Antnio
9531,507.74,Entire home,6,-9.14492,38.72652,Lisbon,Santo Antnio
9532,235.69,Private room,2,-9.146,38.728,Lisbon,Santo Antnio
9533,228.66,Private room,4,-9.146,38.727,Lisbon,Santo Antnio
9534,426.13,Entire home,4,-9.14634,38.73151,Lisbon,Avenidas Novas
9535,176.36,Entire home,2,-9.13736,38.72188,Lisbon,Arroios
9536,189.26,Entire home,2,-9.13754,38.72128,Lisbon,Arroios
9537,198.41,Entire home,2,-9.13913,38.72075,Lisbon,Arroios
9538,192.78,Entire home,2,-9.13767,38.72173,Lisbon,Arroios
9539,304.17,Entire home,4,-9.13796,38.72031,Lisbon,Arroios
9540,238.04,Entire home,4,-9.155,38.709,Lisbon,Estrela
9541,287.05,Entire home,4,-9.15651,38.74238,Lisbon,Avenidas Novas
9542,241.56,Entire home,2,-9.15335,38.71558,Lisbon,Misericrdia
9543,211.3,Entire home,3,-9.15477,38.70947,Lisbon,Estrela
9544,186.91,Private room,4,-9.15108,38.734,Lisbon,Avenidas Novas
9545,107.88,Private room,2,-9.14382,38.72553,Lisbon,Santo Antnio
9546,303.0,Entire home,2,-9.141,38.724,Lisbon,Arroios
9547,199.81,Entire home,2,-9.15507,38.7081,Lisbon,Estrela
9548,216.93,Entire home,4,-9.15626,38.71175,Lisbon,Estrela
9549,275.09,Entire home,3,-9.14595,38.726490000000005,Lisbon,Santo Antnio
9550,333.26,Entire home,4,-9.15545,38.71428,Lisbon,Estrela
9551,170.73,Entire home,3,-9.15425,38.70966,Lisbon,Estrela
9552,170.73,Entire home,5,-9.15582,38.70819,Lisbon,Estrela
9553,135.79,Private room,2,-9.15566,38.70836,Lisbon,Estrela
9554,263.6,Entire home,4,-9.139,38.733,Lisbon,Arroios
9555,234.52,Entire home,2,-9.15491,38.71348,Lisbon,Estrela
9556,170.73,Private room,2,-9.15593,38.71389,Lisbon,Estrela
